us_state	us_state_abbr	us_district	us_district_ordinal	lon	lat
Georgia	GA	4	4th	-84.1367202932	33.7490627671
Georgia	GA	5	5th	-84.4300897377	33.7454478796
Hawaii	HI	1	1st	-157.896742015	21.3725033499
Illinois	IL	1	1st	-87.7115789604	41.6762257868
Illinois	IL	2	2nd	-87.6283283314	41.5774838228
Illinois	IL	3	3rd	-87.8020290966	41.7650273494
Illinois	IL	5	5th	-87.7869863895	41.9487792854
Illinois	IL	6	6th	-88.0512061819	41.9411561682
Illinois	IL	7	7th	-87.7375377475	41.8735034362
Illinois	IL	9	9th	-87.7840649904	42.0237465186
Indiana	IN	1	1st	-87.2583044481	41.0888967092
Illinois	IL	10	10th	-87.9016850475	42.1967310814
Illinois	IL	13	13th	-88.0530725593	41.6861084632
Illinois	IL	19	19th	-88.8909345908	38.6314814373
Indiana	IN	3	3rd	-85.4146004363	41.3778201273
Indiana	IN	7	7th	-86.1434816387	39.7895662549
Iowa	IA	4	4th	-93.5375877075	42.6690832469
Iowa	IA	5	5th	-95.2802995337	41.9423461852
Kansas	KS	1	1st	-99.3698382083	38.626192172
Kansas	KS	2	2nd	-95.4745991541	38.5537678051
Kansas	KS	3	3rd	-94.8790303507	38.9352232731
Kansas	KS	4	4th	-97.0413201532	37.4802944721
Maryland	MD	8	8th	-77.2485033325	39.0959435567
Massachusetts	MA	1	1st	-72.675716652	42.4308638031
Massachusetts	MA	2	2nd	-72.0938935445	42.1464275701
Massachusetts	MA	3	3rd	-71.568121836	42.1656760772
Massachusetts	MA	5	5th	-71.4064967796	42.5635402476
Massachusetts	MA	6	6th	-70.9450069229	42.642664164
Massachusetts	MA	7	7th	-71.237457784	42.391430983
Massachusetts	MA	8	8th	-71.079273848	42.348598293
Massachusetts	MA	10	10th	-70.5114016066	41.787942615
Michigan	MI	1	1st	-86.2940164153	45.8454992935
Michigan	MI	2	2nd	-85.9664463563	43.741806944
Michigan	MI	3	3rd	-85.319825317	42.8629061606
Michigan	MI	4	4th	-84.923441874	43.9035786789
Minnesota	MN	4	4th	-93.0843554719	44.9963330921
New York	NY	6	6th	-73.7802213002	40.6624132889
Michigan	MI	5	5th	-83.593178648	43.3035914935
Michigan	MI	6	6th	-85.8841061082	42.1461213085
Michigan	MI	9	9th	-83.2588104149	42.6169688567
Michigan	MI	11	11th	-83.4978375226	42.4589758402
Michigan	MI	12	12th	-83.040182343	42.5122410452
Texas	TX	14	14th	-96.0322413285	29.0435693064
Michigan	MI	13	13th	-83.0433485116	42.357641464
Michigan	MI	14	14th	-83.1856190321	42.3140086154
Michigan	MI	15	15th	-83.5264374743	42.0429748369
Minnesota	MN	5	5th	-93.292267172	44.9778835176
Mississippi	MS	2	2nd	-90.4282210384	33.1035541214
Mississippi	MS	3	3rd	-89.7502768155	32.079884635
Mississippi	MS	4	4th	-89.0433395858	31.1519470737
Missouri	MO	1	1st	-90.3141063971	38.7441255804
New York	NY	11	11th	-73.9546251323	40.6561141769
Missouri	MO	5	5th	-94.4184581903	38.9356201587
Nebraska	NE	2	2nd	-96.1199279956	41.2659680314
New York	NY	13	13th	-74.1384936482	40.583750891
Nevada	NV	1	1st	-115.179670519	36.226062666
New Hampshire	NH	2	2nd	-71.7233859199	43.7751587885
New York	NY	14	14th	-73.9487604415	40.7596413345
New Jersey	NJ	1	1st	-75.0647283257	39.7844067088
New Jersey	NJ	4	4th	-74.40872087	40.1225541338
New Jersey	NJ	5	5th	-74.663053709	41.0330442414
New Jersey	NJ	6	6th	-74.2473359552	40.419780827
New Jersey	NJ	7	7th	-74.7147472342	40.6032953922
New Jersey	NJ	8	8th	-74.2148536699	40.8758578726
New Jersey	NJ	9	9th	-74.0598680175	40.8474053491
New Jersey	NJ	10	10th	-74.2175348688	40.703731743
New Jersey	NJ	11	11th	-74.5435161708	40.8572023513
New York	NY	1	1st	-72.6753727117	40.9075474855
New York	NY	2	2nd	-73.2951653516	40.7946971932
New York	NY	3	3rd	-73.4735566163	40.7238981786
New York	NY	4	4th	-73.6447834413	40.6890640572
New York	NY	15	15th	-73.9370757202	40.8178836062
New York	NY	5	5th	-73.7275086187	40.7866580256
New York	NY	16	16th	-73.9030316288	40.8313299487
New York	NY	7	7th	-73.846714784	40.816978036
North Carolina	NC	11	11th	-82.9617479266	35.4370987194
North Carolina	NC	12	12th	-80.4584435305	35.7356132439
North Carolina	NC	13	13th	-79.102361593	36.2763954147
North Dakota	ND	0	0th	-100.46931455	47.4463360346
New York	NY	8	8th	-73.9980715534	40.6740497483
Pennsylvania	PA	19	19th	-76.9360405164	39.9401539476
New York	NY	9	9th	-73.8702805655	40.6368159131
New York	NY	10	10th	-73.9181365296	40.6609441893
New York	NY	12	12th	-73.9447060844	40.6999701769
New York	NY	17	17th	-74.0023322099	41.0715237937
New York	NY	18	18th	-73.804335668	41.0761228667
New York	NY	21	21st	-74.231972408	42.7031458186
New York	NY	26	26th	-78.1591266462	42.9262938986
Ohio	OH	1	1st	-84.6506001809	39.2662942048
Ohio	OH	10	10th	-81.7780727046	41.409781246
Ohio	OH	11	11th	-81.5530521314	41.490607618
Ohio	OH	12	12th	-82.8364736316	40.177154908
Ohio	OH	14	14th	-81.0021909761	41.5711454519
Ohio	OH	16	16th	-81.7756630738	40.8647653023
Oregon	OR	3	3rd	-122.246185543	45.4322919255
Oregon	OR	4	4th	-123.214971378	43.4979228734
Oregon	OR	5	5th	-123.103478612	45.0179968798
Pennsylvania	PA	1	1st	-75.211595294	39.9283367516
Pennsylvania	PA	2	2nd	-75.1833945784	40.0176080534
Pennsylvania	PA	8	8th	-75.1058258214	40.3329787475
Pennsylvania	PA	9	9th	-78.3184436217	40.2304294814
Pennsylvania	PA	10	10th	-76.167878677	41.4524382536
Rhode Island	RI	1	1st	-71.4147418901	41.7938471871
Rhode Island	RI	2	2nd	-71.6160426771	41.6228921611
Tennessee	TN	9	9th	-89.9704496244	35.0846705676
Texas	TX	7	7th	-95.5605022352	29.8215746814
Texas	TX	9	9th	-95.4924049096	29.6575874487
Louisiana	LA	5	5th	-92.0289738881	31.8910084745
New Jersey	NJ	12	12th	-74.584748376	40.3773053944
California	CA	3	3rd	-120.680683073	38.4042184039
Alabama	AL	1	1st	-87.7686073168	31.1183638214
Indiana	IN	2	2nd	-86.4866163656	41.1874783096
California	CA	29	29th	-118.195139868	34.1560177296
Florida	FL	1	1st	-86.528804863	30.694934468
Florida	FL	2	2nd	-84.4157016478	30.2241061157
Florida	FL	3	3rd	-81.7374632735	29.4287261553
Texas	TX	12	12th	-97.6752747164	32.9666814898
Texas	TX	16	16th	-106.344680942	31.8344303543
Texas	TX	30	30th	-96.7561313133	32.6769536076
Utah	UT	2	2nd	-110.871482448	38.5803044358
Utah	UT	3	3rd	-112.551527564	39.1378397262
Vermont	VT	0	0th	-72.662716484	44.0751820987
Virginia	VA	1	1st	-76.9912128019	37.9333795061
Virginia	VA	2	2nd	-75.8250419489	37.3770778699
Virginia	VA	3	3rd	-76.9943412714	37.2835636442
Virginia	VA	4	4th	-77.3262315992	36.9724439511
Virginia	VA	5	5th	-78.8538123683	37.1871717477
Virginia	VA	6	6th	-79.301974378	38.0613974717
Virginia	VA	7	7th	-77.9268669941	38.1346215828
Virginia	VA	8	8th	-77.1592698	38.8433022509
Washington	WA	7	7th	-122.363703683	47.5523523128
Illinois	IL	11	11th	-88.6429289624	41.2024965732
Massachusetts	MA	4	4th	-71.0297901756	41.8567221003
New York	NY	28	28th	-78.4789874696	43.2283453534
Michigan	MI	10	10th	-82.9225431935	43.2866238122
Wisconsin	WI	8	8th	-88.5698939569	45.1948705001
Missouri	MO	2	2nd	-90.7665380062	38.8957841317
Missouri	MO	3	3rd	-90.3834789411	38.1349329314
Missouri	MO	6	6th	-93.9116844998	39.8959385278
Nebraska	NE	3	3rd	-100.419345782	41.5796854741
Nevada	NV	2	2nd	-116.733917894	39.5014031759
New York	NY	29	29th	-77.7038927987	42.3815148227
Pennsylvania	PA	14	14th	-79.9278921317	40.4176091844
Ohio	OH	2	2nd	-83.6443401743	38.9830438542
Ohio	OH	15	15th	-83.318036107	40.0572080713
Ohio	OH	17	17th	-80.9791053128	41.1789900661
Pennsylvania	PA	3	3rd	-79.9360965157	41.4874501341
Texas	TX	1	1st	-94.532407983	32.0271335372
Texas	TX	10	10th	-96.5282310304	30.1690218177
Texas	TX	17	17th	-96.9204389964	31.5190968582
Texas	TX	18	18th	-95.3865574439	29.8704473131
Texas	TX	31	31st	-97.576648644	31.2721904703
Washington	WA	8	8th	-121.85164708	47.2274620761
Wisconsin	WI	4	4th	-87.9573077479	43.0490382036
Wisconsin	WI	5	5th	-88.2469801219	43.217032293
Wisconsin	WI	6	6th	-88.7509682284	43.8452330519
Wyoming	WY	0	0th	-107.551446261	42.9996353764
Kentucky	KY	3	3rd	-85.6528915585	38.1931478819
Kentucky	KY	4	4th	-84.0800963873	38.521860155
Arizona	AZ	4	4th	-112.110102204	33.4255480393
Louisiana	LA	3	3rd	-90.6595813624	29.7046299631
Maryland	MD	4	4th	-77.0028568716	39.0322393777
Maryland	MD	5	5th	-76.7679730586	38.5634915827
Maryland	MD	6	6th	-77.8784285207	39.555180486
Maryland	MD	7	7th	-76.8907562597	39.2749650858
Michigan	MI	8	8th	-84.1596267586	42.7429884822
California	CA	1	1st	-123.361125388	39.8946172578
California	CA	2	2nd	-122.349080634	40.550546497
Florida	FL	4	4th	-82.5596530636	30.3845240179
Florida	FL	5	5th	-82.3615898607	28.7714262402
Arizona	AZ	6	6th	-111.574179914	33.3124321853
Arizona	AZ	7	7th	-112.980907713	32.7497088938
Arizona	AZ	8	8th	-110.07223288	31.9120836491
Arkansas	AR	1	1st	-91.2267013934	35.5051471031
Arkansas	AR	2	2nd	-92.5509951637	35.0774809584
Arkansas	AR	3	3rd	-93.6452508874	35.8928778088
Arkansas	AR	4	4th	-92.9294432208	33.9114277807
California	CA	8	8th	-122.428418855	37.7627139211
Arizona	AZ	3	3rd	-112.052327121	33.7960755943
California	CA	5	5th	-121.449981027	38.5631820707
California	CA	9	9th	-122.146085858	37.7726818089
California	CA	12	12th	-122.403953529	37.6066624994
California	CA	13	13th	-122.031396925	37.5920982665
California	CA	14	14th	-122.164700398	37.2519822758
California	CA	15	15th	-121.830173032	37.1877424353
California	CA	16	16th	-121.771556421	37.2402320935
California	CA	17	17th	-121.205300864	36.3468227249
California	CA	18	18th	-120.814002046	37.2400820548
California	CA	19	19th	-119.973805211	37.6103198054
California	CA	20	20th	-119.986298499	36.1387739148
California	CA	21	21st	-118.927108832	36.5261104898
California	CA	22	22nd	-119.085036881	35.2945930948
California	CA	23	23rd	-120.318718305	34.7337564208
California	CA	24	24th	-119.572952618	34.619665116
California	CA	25	25th	-117.499189334	36.2187480801
California	CA	27	27th	-118.471971067	34.2577570638
California	CA	28	28th	-118.418632034	34.1918554231
California	CA	30	30th	-118.644125389	34.1023528462
California	CA	31	31st	-118.24219509	34.0837207542
California	CA	33	33rd	-118.338232919	34.0330094567
California	CA	34	34th	-118.178838807	33.9811651882
Florida	FL	17	17th	-80.2147513226	25.9270002177
Florida	FL	18	18th	-80.7644214109	25.171249385
California	CA	35	35th	-118.332833954	33.93981877
California	CA	36	36th	-118.358694236	33.8648785856
California	CA	37	37th	-118.216369465	33.845488092
California	CA	43	43rd	-117.446527131	34.0899512119
California	CA	44	44th	-117.484646961	33.7914123392
California	CA	47	47th	-117.913603139	33.7825171892
California	CA	48	48th	-117.760694944	33.6398683764
California	CA	50	50th	-117.171586473	33.0419632999
Colorado	CO	1	1st	-104.886191139	39.7499750759
Colorado	CO	2	2nd	-106.10407248	39.865111413
Colorado	CO	3	3rd	-106.912483477	38.6149429385
Colorado	CO	4	4th	-103.321198999	39.4459515683
Connecticut	CT	1	1st	-72.8099616793	41.8159981209
Connecticut	CT	2	2nd	-72.2126277296	41.6595289957
Connecticut	CT	3	3rd	-72.8885828023	41.3798745484
Connecticut	CT	4	4th	-73.3785027692	41.2181830395
Connecticut	CT	5	5th	-73.2188979796	41.6906327736
Delaware	DE	0	0th	-75.5001765252	38.9917770652
Florida	FL	10	10th	-82.7293091575	27.8619009219
Florida	FL	11	11th	-82.4936564942	27.8965429302
Florida	FL	13	13th	-82.077403219	27.3352121701
Florida	FL	14	14th	-81.8565086498	26.539465205
Florida	FL	19	19th	-80.176379207	26.4531383898
Florida	FL	21	21st	-80.3400783493	25.8398279912
Kentucky	KY	5	5th	-83.5242997933	37.3263730698
Kentucky	KY	6	6th	-84.4467138571	37.8896095984
Louisiana	LA	1	1st	-90.1298610815	30.5538107048
Louisiana	LA	2	2nd	-89.9801838719	30.0290445781
Louisiana	LA	4	4th	-93.3065859112	31.845315913
Arizona	AZ	5	5th	-111.609719794	33.6726783295
Louisiana	LA	6	6th	-91.0386576723	30.5952605561
Louisiana	LA	7	7th	-92.7039291777	30.1396235054
Maine	ME	1	1st	-70.0802563778	43.9182675607
Maine	ME	2	2nd	-69.114036317	45.5619130435
Maryland	MD	1	1st	-75.8878454784	38.767485528
Maryland	MD	2	2nd	-76.4680484228	39.3610016664
Maryland	MD	3	3rd	-76.679303596	39.1849687292
California	CA	26	26th	-117.789035498	34.2364816093
Colorado	CO	5	5th	-105.390880513	38.8459048897
Florida	FL	12	12th	-81.7703512121	27.8766747325
Alabama	AL	2	2nd	-86.1067856253	31.7243068144
Alabama	AL	3	3rd	-85.7053898933	33.0516320399
Alabama	AL	4	4th	-87.0956873277	34.0737241585
Alabama	AL	5	5th	-86.9342506355	34.7455932372
Alabama	AL	6	6th	-86.8795590805	33.2762593211
Alabama	AL	7	7th	-87.6902048854	32.4383008114
Alaska	AK	0	0th	-152.190031609	64.2090315491
Arizona	AZ	1	1st	-110.8752127	34.8483051339
Arizona	AZ	2	2nd	-113.158996395	35.4995639677
California	CA	4	4th	-120.69033646	40.3064446269
New York	NY	27	27th	-79.1064263194	42.4165001224
Ohio	OH	13	13th	-81.7914745639	41.2341278865
Pennsylvania	PA	11	11th	-75.834244377	41.0646607697
Texas	TX	13	13th	-100.534265698	34.666961211
Wisconsin	WI	7	7th	-90.8467558168	45.5967594192
Florida	FL	6	6th	-82.2398541385	29.6873222936
Florida	FL	7	7th	-81.3774754301	29.5015876417
Florida	FL	8	8th	-81.6987810463	28.8422190304
Florida	FL	9	9th	-82.4105197405	28.0774127644
Colorado	CO	6	6th	-104.519647315	39.3972306919
Colorado	CO	7	7th	-104.388008819	39.8547237368
Georgia	GA	7	7th	-83.8615036893	33.890357899
California	CA	6	6th	-122.856777362	38.3416774153
California	CA	7	7th	-122.125886075	38.1143054829
California	CA	10	10th	-121.855505382	38.0083456144
California	CA	11	11th	-121.409369141	37.7068154485
California	CA	32	32nd	-117.985179059	34.0854910697
Georgia	GA	8	8th	-83.4664645592	32.3492713532
Georgia	GA	9	9th	-84.4741441287	34.6490189972
Georgia	GA	10	10th	-83.1098730447	34.0050729643
Georgia	GA	11	11th	-85.0650470529	34.117865391
Georgia	GA	12	12th	-82.2109905	32.7248061209
Georgia	GA	13	13th	-84.532463553	33.6495187844
California	CA	38	38th	-117.9644864	34.0063468591
California	CA	39	39th	-118.102998038	33.9079019939
California	CA	40	40th	-117.927980782	33.8333399885
California	CA	41	41st	-115.826293542	34.5937765133
California	CA	42	42nd	-117.730898014	33.860232777
California	CA	45	45th	-115.751179933	33.7289223133
California	CA	46	46th	-118.271501932	33.4714535592
California	CA	49	49th	-117.049877386	33.3579467309
California	CA	51	51st	-115.467085252	33.0080529844
California	CA	52	52nd	-116.534713294	32.9746899353
California	CA	53	53rd	-117.167089231	32.7449739432
Florida	FL	15	15th	-80.9428568225	28.0130083492
Florida	FL	16	16th	-81.1023678966	27.1084644241
Florida	FL	20	20th	-80.257269018	26.0514760669
Florida	FL	22	22nd	-80.139070629	26.5662387243
Florida	FL	23	23rd	-80.6471748777	26.5867168941
Florida	FL	24	24th	-81.0114304676	28.7067591246
Florida	FL	25	25th	-81.0099955388	25.798321673
Georgia	GA	1	1st	-82.2834562186	31.3533747193
Georgia	GA	2	2nd	-84.3291585735	31.6824763501
Georgia	GA	3	3rd	-84.6889185363	33.1373236352
Hawaii	HI	2	2nd	-156.334649225	20.2270464328
Idaho	ID	1	1st	-116.032925175	45.3614440777
Idaho	ID	2	2nd	-113.35857233	43.4682855052
Illinois	IL	4	4th	-87.7353240528	41.870269537
Illinois	IL	8	8th	-88.1653697618	42.3208474879
Illinois	IL	12	12th	-89.5018059606	37.9527563228
Illinois	IL	14	14th	-89.1503610123	41.6991717029
Illinois	IL	15	15th	-88.1757767473	39.9767966728
Illinois	IL	16	16th	-89.4588898046	42.1993760997
Illinois	IL	17	17th	-90.4356536544	40.2753067471
Illinois	IL	18	18th	-89.9592411526	40.2726191827
Indiana	IN	4	4th	-86.6454330218	39.9128952492
Indiana	IN	5	5th	-85.8530080431	40.3607542716
Indiana	IN	6	6th	-85.2863033096	39.9923440515
Indiana	IN	8	8th	-87.2506975511	39.0359459898
Indiana	IN	9	9th	-86.0415318701	38.6477815336
Iowa	IA	1	1st	-91.4373830645	42.4281501049
Iowa	IA	2	2nd	-91.8330588423	41.1889137309
Iowa	IA	3	3rd	-92.7008025764	41.6531821403
Kentucky	KY	1	1st	-87.2631412882	37.0538576072
Kentucky	KY	2	2nd	-86.0006318072	37.5734290163
Massachusetts	MA	9	9th	-71.0877210994	42.1311247712
New Mexico	NM	2	2nd	-106.386830495	33.3606765367
New Mexico	NM	3	3rd	-105.716381156	35.9049772179
New Jersey	NJ	13	13th	-74.1446630062	40.6749567249
New Mexico	NM	1	1st	-106.049164846	34.7444428042
Michigan	MI	7	7th	-84.5438262964	42.1470212046
Pennsylvania	PA	12	12th	-79.5363169031	40.2059186254
Pennsylvania	PA	13	13th	-75.2630222818	40.1930836897
Minnesota	MN	1	1st	-93.8990814314	43.8901401713
Minnesota	MN	2	2nd	-93.2560198484	44.5280160431
Minnesota	MN	3	3rd	-93.5078948602	45.0204052575
Minnesota	MN	6	6th	-93.884761877	45.3894858663
Minnesota	MN	7	7th	-95.6839891736	46.7318520573
Minnesota	MN	8	8th	-93.1196758694	47.2008105263
Mississippi	MS	1	1st	-89.1226276266	34.2470654913
Missouri	MO	4	4th	-93.4723534133	38.2350884898
Missouri	MO	7	7th	-93.7804715568	36.9716842656
Missouri	MO	8	8th	-90.9864268771	37.1057566428
Missouri	MO	9	9th	-91.8355863939	39.1856700044
Montana	MT	0	0th	-109.64513127	47.0335338653
Nebraska	NE	1	1st	-96.6401490547	41.2510819309
Nevada	NV	3	3rd	-114.882112569	36.0982646764
New Hampshire	NH	1	1st	-71.2051895999	43.4571429281
New Jersey	NJ	2	2nd	-74.9392959053	39.4617023716
New Jersey	NJ	3	3rd	-74.487639012	39.8378699892
North Carolina	NC	1	1st	-77.2562323729	35.9650907425
North Carolina	NC	2	2nd	-78.5822296613	35.5531645476
North Carolina	NC	3	3rd	-76.8870342826	35.3835384291
North Carolina	NC	4	4th	-78.9525719497	35.9127893379
North Carolina	NC	5	5th	-80.883048852	36.2213913703
North Carolina	NC	6	6th	-79.7828484819	35.7074858853
North Carolina	NC	7	7th	-78.4524471946	34.5473966747
North Carolina	NC	8	8th	-79.9262192803	35.1119070944
North Carolina	NC	9	9th	-80.8329925495	35.1545588577
North Carolina	NC	10	10th	-81.577235679	35.668708553
Pennsylvania	PA	15	15th	-75.4696541381	40.6475998952
Pennsylvania	PA	16	16th	-76.1495683055	40.0040813844
Pennsylvania	PA	17	17th	-76.4237573135	40.5149440711
Pennsylvania	PA	18	18th	-79.9600374008	40.2685278832
Texas	TX	4	4th	-95.5331362815	33.3585798956
Texas	TX	5	5th	-95.7076281204	32.2623321417
Texas	TX	6	6th	-96.0993762286	31.6983179912
Texas	TX	15	15th	-97.9219653205	27.9384090721
New York	NY	19	19th	-74.008409611	41.3972635242
New York	NY	20	20th	-73.976202848	42.8512544642
New York	NY	22	22nd	-74.8600627625	41.8767359449
New York	NY	23	23rd	-74.8921937162	44.0475604091
New York	NY	24	24th	-75.6786532172	42.8311982521
New York	NY	25	25th	-76.6015674462	43.0917942034
Ohio	OH	3	3rd	-83.9193081876	39.4329151724
Ohio	OH	4	4th	-83.5644398627	40.5988805937
Ohio	OH	5	5th	-83.7727969035	41.1822928856
Ohio	OH	6	6th	-81.5483209029	39.6529784431
Ohio	OH	7	7th	-83.1360440583	39.7064956464
Ohio	OH	8	8th	-84.5179966731	39.9503387149
Ohio	OH	9	9th	-82.8679016669	41.441907478
Ohio	OH	18	18th	-82.0010876145	39.9577987236
Oklahoma	OK	1	1st	-95.784952907	36.2269438794
Oklahoma	OK	2	2nd	-95.4246508263	35.1711454633
Oklahoma	OK	3	3rd	-98.8406673019	36.1219599438
Oklahoma	OK	4	4th	-97.7097966575	34.561057151
Oklahoma	OK	5	5th	-96.9927560834	35.3069553218
Oregon	OR	1	1st	-123.302736176	45.6950956714
Oregon	OR	2	2nd	-119.554868842	43.8585435491
Pennsylvania	PA	4	4th	-80.190213582	40.7630212007
Pennsylvania	PA	5	5th	-78.2917833949	41.3970365089
Pennsylvania	PA	6	6th	-75.7050487579	40.1876134312
Pennsylvania	PA	7	7th	-75.4376703802	39.9797830991
South Carolina	SC	1	1st	-79.4400954965	33.4233401017
South Carolina	SC	2	2nd	-81.148829155	33.1769801268
South Carolina	SC	3	3rd	-82.3065525076	34.2567126209
South Carolina	SC	4	4th	-82.0440413321	34.8566088166
South Carolina	SC	5	5th	-80.6509287723	34.5384800837
South Carolina	SC	6	6th	-80.2034665064	33.4767755707
South Dakota	SD	0	0th	-100.230489442	44.4361520175
Tennessee	TN	1	1st	-82.784086413	36.2192069161
Tennessee	TN	2	2nd	-84.1639204158	35.6545038265
Tennessee	TN	3	3rd	-84.3681979385	35.7303327923
Tennessee	TN	4	4th	-85.8272473823	35.6805376579
Tennessee	TN	5	5th	-86.7258077959	36.2053260987
Tennessee	TN	6	6th	-86.1299869181	36.1284236943
Tennessee	TN	7	7th	-88.2855191916	35.4792855682
Tennessee	TN	8	8th	-88.6841594603	36.0252952032
Texas	TX	2	2nd	-94.5647778811	29.9501956254
Texas	TX	3	3rd	-96.6866996052	33.0426970402
Texas	TX	8	8th	-94.6664001748	30.5925803917
Texas	TX	11	11th	-100.569913818	31.501219777
Texas	TX	19	19th	-101.256754728	33.3342311242
Texas	TX	20	20th	-98.5695504254	29.446969828
Texas	TX	21	21st	-98.9185079669	29.9706461078
Texas	TX	22	22nd	-95.4911869346	29.4896692484
Texas	TX	23	23rd	-102.576508582	30.3086860347
Texas	TX	24	24th	-97.0046688324	32.8330521054
Texas	TX	25	25th	-97.2330380269	29.7388900078
Texas	TX	26	26th	-97.1178025087	33.2646780514
Texas	TX	27	27th	-97.6397948125	27.0131729726
Texas	TX	28	28th	-98.8579192824	28.00788631
Texas	TX	29	29th	-95.2078124821	29.7836674258
Texas	TX	32	32nd	-96.8524673248	32.8599687727
Utah	UT	1	1st	-112.654693024	40.9114432468
Virginia	VA	9	9th	-81.370180068	36.9773172472
Virginia	VA	10	10th	-77.8971166841	39.0366488667
Virginia	VA	11	11th	-77.3738284237	38.7474829441
Washington	WA	1	1st	-122.457756104	47.7363932313
Washington	WA	2	2nd	-121.760749418	48.4183315588
Washington	WA	3	3rd	-122.587538696	46.3530310376
Washington	WA	4	4th	-120.196027562	46.9193654877
Washington	WA	5	5th	-118.374003016	47.7464850116
Washington	WA	6	6th	-123.603251625	47.5804302406
Washington	WA	9	9th	-122.512235223	47.1157152902
West Virginia	WV	1	1st	-80.2675833082	39.3801442663
West Virginia	WV	2	2nd	-80.281564897	38.8349049147
West Virginia	WV	3	3rd	-81.1579492267	37.9568820493
Wisconsin	WI	1	1st	-88.376269332	42.7015440364
Wisconsin	WI	2	2nd	-89.3684557492	43.0626334835
Wisconsin	WI	3	3rd	-90.9832330239	43.9636395903
Georgia	GA	6	6th	-84.427742185	34.1613586419